program_id,university_id,program_name,detail_research_status,programme_detail_source_url,tuition_source_url,international_admissions_source_url,verified_fields,unresolved_fields,evidence_note,verified_at
prog_mo_001,uni_mo_001,Bachelor of Science in Computer Science,REVIEWED_PARTIAL,https://www.cis.um.edu.mo/bsc_computer_science.html,https://reg.um.edu.mo/admissions/general-information/fees/,https://reg.um.edu.mo/admissions/nonlocal/others-regions/app-adm-rules/,duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period,minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current official programme/accreditation and fee evidence supports a 4-year English Bachelor programme and the non-local full-programme tuition. Future 2027/28 intake and deadline are not stored without a published schedule.,2026-08-22
prog_mo_002,uni_mo_001,Bachelor of Science in Electrical and Computer Engineering,REVIEWED_PARTIAL,https://www.fst.um.edu.mo/academics/programs/,https://reg.um.edu.mo/admissions/general-information/fees/,https://reg.um.edu.mo/admissions/nonlocal/others-regions/app-adm-rules/,duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period,minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current UM engineering programme and non-local fee evidence verified. Future schedule fields remain blank.,2026-08-22
prog_mo_003,uni_mo_001,Bachelor of Science in Civil Engineering,REVIEWED_PARTIAL,https://www.fst.um.edu.mo/cee/degrees/bachelor/,https://reg.um.edu.mo/admissions/general-information/fees/,https://reg.um.edu.mo/admissions/nonlocal/others-regions/app-adm-rules/,duration_years; study_mode; language_of_instruction; tuition_fee; tuition_currency; tuition_period,minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current UM civil engineering and non-local fee evidence verified. Future schedule fields remain blank.,2026-08-22
prog_mo_004,uni_mo_002,Bachelor of Science in Computing,REVIEWED_PARTIAL,https://mpusite.mpu.edu.mo/admission_overseas/en/undergraduate.php,https://mpusite.mpu.edu.mo/admission_overseas/en/fees_scholarships.php,https://mpusite.mpu.edu.mo/admission_overseas/en/direct_admission.php,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Official MPU source reports 4 years, daytime and English. Daytime is preserved as evidence but is not force-mapped to the canonical study_mode enum.",2026-08-22
prog_mo_005,uni_mo_002,Bachelor of Science in Artificial Intelligence,REVIEWED_PARTIAL,https://mpusite.mpu.edu.mo/admission_overseas/en/undergraduate.php,https://mpusite.mpu.edu.mo/admission_overseas/en/fees_scholarships.php,https://mpusite.mpu.edu.mo/admission_overseas/en/direct_admission.php,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Official MPU source reports 4 years, daytime and English. Canonical study_mode remains unresolved.",2026-08-22
prog_mo_006,uni_mo_002,Bachelor of Management,REVIEWED_PARTIAL,https://mpusite.mpu.edu.mo/admission_overseas/en/undergraduate.php,https://mpusite.mpu.edu.mo/admission_overseas/en/fees_scholarships.php,https://mpusite.mpu.edu.mo/admission_overseas/en/direct_admission.php,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"For the overseas/current route, MPU lists Bachelor of Management as a 4-year daytime English programme. The separate evening Chinese version is not mixed into this selected programme record.",2026-08-22
prog_mo_007,uni_mo_003,Bachelor of Business Administration,REVIEWED_PARTIAL,https://msb.must.edu.mo/page/id-3505.html?locale=en_US,https://www.must.edu.mo/images/Admission/files/PreUBachelorFT_Non_Macao_residents_EN.pdf,https://www.must.edu.mo/en/academic-affairs-office/938-admissions/international-student/6159-international-student-e,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"2026/27 non-Macao fee table verifies BBA normal duration 4 years and first-year tuition HKD174,000.",2026-08-22
prog_mo_008,uni_mo_003,Bachelor of International Tourism Management,REVIEWED_PARTIAL,https://fhtm.must.edu.mo/id-1725/program/view/id-263.html?locale=en_US,https://www.must.edu.mo/images/Admission/files/PreUBachelorFT_Non_Macao_residents_EN.pdf,https://www.must.edu.mo/en/academic-affairs-office/938-admissions/international-student/6159-international-student-e,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"2026/27 non-Macao table verifies 4 years and first-year tuition HKD163,000 for International Tourism Management.",2026-08-22
prog_mo_009,uni_mo_003,Bachelor of Applied Economics,REVIEWED_PARTIAL,https://ugadmissions.must.edu.mo/faculty/id-2878.html?locale=en_US,https://www.must.edu.mo/images/Admission/files/PreUBachelorFT_Non_Macao_residents_EN.pdf,https://www.must.edu.mo/en/academic-affairs-office/938-admissions/international-student/6159-international-student-e,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"2026/27 non-Macao table verifies 4 years and first-year tuition HKD174,000 for Applied Economics.",2026-08-22
prog_mo_010,uni_mo_004,Bachelor of Computer Science,REVIEWED_PARTIAL,https://www.cityu.edu.mo/en/admissions/bachelors-degree-programmes/,https://ado.cityu.edu.mo/en/uploads/userfiles/Prospectus%202026-2027%281%29.pdf,https://www.cityu.edu.mo/en/apply-now-bachelors-degree-programs-2026-2027-macao-hong-kong-taiwan-overseas/,duration_years; language_of_instruction; tuition_fee; tuition_currency; tuition_period,study_mode; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Current 2026/27 Bachelor information supports 4-year duration and HKD125,000 annual non-local tuition. Whole-programme language is kept Unknown rather than inferred from an English webpage.",2026-08-22
