program_id,university_id,university_name,program_name,research_status,programme_identity_status,identity_source_url,international_applicants_status,international_source_url,verified_fields,unresolved_fields,evidence_note,verified_at
prog_mn_001,uni_mn_001,National University of Mongolia,Business Administration,VERIFIED,VERIFIED,https://registration.num.edu.mn/Admission/Programs/2,verified_yes,https://registration.num.edu.mn/Admission/Programs/2,program_name; field_of_study; degree_level; duration_years; study_mode; language_of_instruction; program_url,tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,NUM general undergraduate information states four years of full-time study. Programme teaching language is not inferred from the admission language test.,2026-08-22
prog_mn_002,uni_mn_001,National University of Mongolia,Information Technology,VERIFIED,VERIFIED,https://registration.num.edu.mn/Admission/Programs/2,verified_yes,https://registration.num.edu.mn/Admission/Programs/2,program_name; field_of_study; degree_level; duration_years; study_mode; language_of_instruction; program_url,tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Four-year full-time duration comes from NUM's general undergraduate programme information.,2026-08-22
prog_mn_003,uni_mn_001,National University of Mongolia,Electrical Engineering,VERIFIED,VERIFIED,https://registration.num.edu.mn/Admission/Programs/2,verified_yes,https://registration.num.edu.mn/Admission/Programs/2,program_name; field_of_study; degree_level; duration_years; study_mode; language_of_instruction; program_url,tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Four-year full-time duration verified from NUM general undergraduate information.,2026-08-22
prog_mn_004,uni_mn_002,Mongolian University of Science and Technology,Structural Engineering,VERIFIED,VERIFIED,https://admission.must.edu.mn/programs,verified_yes,https://admission.must.edu.mn/,program_name; field_of_study; degree_level; duration_years; language_of_instruction; ielts_requirement; toefl_requirement; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; intake; application_deadline,Official programme page states 4 years / 8 semesters and English delivery.,2026-08-22
prog_mn_005,uni_mn_002,Mongolian University of Science and Technology,Business Administration,VERIFIED,VERIFIED,https://admission.must.edu.mn/programs,verified_yes,https://admission.must.edu.mn/,program_name; field_of_study; degree_level; duration_years; language_of_instruction; ielts_requirement; toefl_requirement; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; intake; application_deadline,Official programme information states 4 years / 8 semesters and English delivery.,2026-08-22
prog_mn_006,uni_mn_002,Mongolian University of Science and Technology,Mechanical Engineering,VERIFIED,VERIFIED,https://admission.must.edu.mn/programs,verified_yes,https://admission.must.edu.mn/,program_name; field_of_study; degree_level; duration_years; language_of_instruction; ielts_requirement; toefl_requirement; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; intake; application_deadline,Official programme information states 4 years / 8 semesters and English delivery.,2026-08-22
prog_mn_007,uni_mn_003,Mongolian National University of Medical Sciences,Medicine,VERIFIED,VERIFIED,https://mnums.edu.mn/%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80/,verified_yes,https://news.mnums.edu.mn/?p=10069,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Whole-programme language is kept Unknown. No unsupported IELTS/TOEFL minimum is added.,2026-08-22
prog_mn_008,uni_mn_003,Mongolian National University of Medical Sciences,Dentistry,VERIFIED,VERIFIED,https://mnums.edu.mn/%D0%B1%D0%B0%D0%BB%D0%B0%D0%B2%D1%80/,verified_yes,https://news.mnums.edu.mn/?p=10069,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Instruction language remains Unknown without programme-level MOI evidence.,2026-08-22
prog_mn_009,uni_mn_003,Mongolian National University of Medical Sciences,Nursing,VERIFIED,VERIFIED,https://mnums.edu.mn/%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80/,verified_yes,https://news.mnums.edu.mn/?p=10069,program_name; field_of_study; degree_level; duration_years; language_of_instruction; program_url,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Instruction language remains Unknown.,2026-08-22
prog_mn_010,uni_mn_004,Mongolian National University of Education,Teacher Education in Mathematics,VERIFIED,VERIFIED,https://smns.msue.edu.mn/p/r/5648,unknown,,program_name; field_of_study; degree_level; language_of_instruction; program_url,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,"Credits are published, but duration is not inferred from credit count.",2026-08-22
