program_id,university_id,university_name,country_id,program_slot,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_tw_001,uni_tw_001,National Taiwan University,country_tw,1,Economics,Economics,Bachelor,,,English,,,,,,,,,,https://econ.ntu.edu.tw/en/bachelors-english-taught-program,VERIFIED,Current official university source verifies this Bachelor programme.,http://www.ntu.edu.tw/english/,VERIFIED,NTU officially lists Economics among its undergraduate English-taught programmes.,2026-08-22,verified_yes,https://admissions.ntu.edu.tw/,NTU official international admissions and English-taught programme information support international Bachelor applicants.,2026-08-22
prog_tw_002,uni_tw_001,National Taiwan University,country_tw,2,Civil Engineering,Civil Engineering,Bachelor,4,,English,,,,,,,,,,https://www.ce.ntu.edu.tw/en/programs/undergraduate-programs/,VERIFIED,Current official university source verifies this Bachelor programme.,http://www.ntu.edu.tw/english/,VERIFIED,Official Civil Engineering page explicitly states four years of training and provides a full English-taught track.,2026-08-22,verified_yes,https://admissions.ntu.edu.tw/,The Civil Engineering department explicitly states that both undergraduate tracks welcome international students.,2026-08-22
prog_tw_003,uni_tw_001,National Taiwan University,country_tw,3,Mechanical Engineering,Mechanical Engineering,Bachelor,,,English,,,,,,,,,,https://admissions.ntu.edu.tw/learn/taught-programs/,VERIFIED,Current official university source verifies this Bachelor programme.,http://www.ntu.edu.tw/english/,VERIFIED,Programme identity and English-taught availability are verified; duration remains blank without programme-specific evidence in this pass.,2026-08-22,verified_yes,https://admissions.ntu.edu.tw/,NTU international admissions information lists Mechanical Engineering among undergraduate English-taught offerings.,2026-08-22
prog_tw_004,uni_tw_002,National Tsing Hua University,country_tw,1,Chemical Engineering,Chemical Engineering,Bachelor,,,English Available,,,,,,,,,,https://apply.nthu.edu.tw/en/department/24-chemical-engineering,VERIFIED,Current official university source verifies this Bachelor programme.,http://www.nthu.edu.tw/english/,VERIFIED,Official portal states sufficient English-taught courses are available to meet graduation requirements.,2026-08-22,verified_yes,https://apply.nthu.edu.tw/en/article/172-2026-fall-undergraduate,NTHU official international applicant portal marks Chemical Engineering as available to international students.,2026-08-22
prog_tw_005,uni_tw_002,National Tsing Hua University,country_tw,2,Electrical Engineering,Electrical Engineering,Bachelor,,,English Available,,,,,,,,,,https://apply.nthu.edu.tw/tw/department/64-electrical-engineering,VERIFIED,Current official university source verifies this Bachelor programme.,http://www.nthu.edu.tw/english/,VERIFIED,Official programme page reports sufficient English-taught courses for graduation. Duration is not inferred.,2026-08-22,verified_yes,https://apply.nthu.edu.tw/en/article/172-2026-fall-undergraduate,NTHU official programme portal identifies Electrical Engineering for international student applicants.,2026-08-22
prog_tw_006,uni_tw_002,National Tsing Hua University,country_tw,3,International Bachelor Degree Program in Electrical Engineering and Computer Science,Electrical Engineering and Computer Science,Bachelor,4,,English,,,,,,6.0,,,,https://ibp.nthu.edu.tw/ertss-EECS.html,VERIFIED,Current official university source verifies this Bachelor programme.,http://www.nthu.edu.tw/english/,VERIFIED,Official NTHU source describes this as a four-year fully English-taught Bachelor programme. Current programme-specific admission material specifies IELTS 6.0 or equivalent; no TOEFL numeric value is invented.,2026-08-22,verified_yes,https://apply.nthu.edu.tw/en/article/172-2026-fall-undergraduate,The current NTHU international Bachelor admission material explicitly supports international applicants to this programme.,2026-08-22
prog_tw_007,uni_tw_003,National Yang Ming Chiao Tung University,country_tw,1,Computer Science and Information Engineering,Computer Science,Bachelor,,,Unknown,,,,,,,,,,https://www.cs.nycu.edu.tw/admission/undergraduate?locale=en,VERIFIED,Current official university source verifies this Bachelor programme.,https://www.nycu.edu.tw/,VERIFIED,Current undergraduate programme and current international admission are verified. Whole-programme teaching language remains Unknown.,2026-08-22,verified_yes,https://oia.nycu.edu.tw/oia/en/app/artwebsite/view?id=786&module=artwebsite&serno=aa792259-32d5-422d-b382-3171b79f64f3,NYCU Fall 2026 degree-seeking international admission results contain Bachelor admits to the Department of Computer Science.,2026-08-22
prog_tw_008,uni_tw_003,National Yang Ming Chiao Tung University,country_tw,2,Microelectronics,Microelectronics / Semiconductor Engineering,Bachelor,,,Unknown,,,,,,,,,,https://www.nycu.edu.tw/aa/ch/app/data/view?id=2511&module=nycu0069&serno=26a3c36f-d833-4a3d-8e18-571d2ce72de4,VERIFIED,Current official university source verifies this Bachelor programme.,https://www.nycu.edu.tw/,VERIFIED,Current AY2026 undergraduate curriculum identifies the Department of Microelectronics. Teaching language remains Unknown rather than inferred.,2026-08-22,verified_yes,https://oia.nycu.edu.tw/oia/en/app/artwebsite/view?id=786&module=artwebsite&serno=aa792259-32d5-422d-b382-3171b79f64f3,NYCU Fall 2026 international admission results include Bachelor admission to the Department of Microelectronics.,2026-08-22
prog_tw_009,uni_tw_003,National Yang Ming Chiao Tung University,country_tw,3,Electrophysics,Electrophysics,Bachelor,,,Unknown,,,,,,,,,,https://www.nycu.edu.tw/aa/ch/app/data/view?id=2511&module=nycu0069&serno=26a3c36f-d833-4a3d-8e18-571d2ce72de4,VERIFIED,Current official university source verifies this Bachelor programme.,https://www.nycu.edu.tw/,VERIFIED,Current Bachelor identity and international eligibility verified. Language remains Unknown.,2026-08-22,verified_yes,https://oia.nycu.edu.tw/oia/en/app/artwebsite/view?id=786&module=artwebsite&serno=aa792259-32d5-422d-b382-3171b79f64f3,NYCU Fall 2026 degree-seeking international admission results explicitly contain Bachelor admits to Electrophysics.,2026-08-22
prog_tw_010,uni_tw_004,National Cheng Kung University,country_tw,1,Computer Science and Information Engineering,Computer Science,Bachelor,,,Unknown,,,,,,,,,,https://management.oia.ncku.edu.tw/intladmission/application/brochure/applyIntladmissionSn/28,VERIFIED,Current official university source verifies this Bachelor programme.,http://web.ncku.edu.tw/bin/home.php,VERIFIED,Current international programme identity verified. Language remains Unknown because individual English courses are not treated as proof of whole-programme English MOI.,2026-08-22,verified_yes,https://oia.ncku.edu.tw/p/404-1032-229816.php?Lang=en,NCKU current 2026/2027 international admission programme list includes the Bachelor programme in Computer Science and Information Engineering.,2026-08-22
