program_id,university_id,university_name,program_name,degree_level,programme_source_url,international_source_url,international_applicants_status,verified_fields,unresolved_fields,evidence_note,verified_at
prog_tw_001,uni_tw_001,National Taiwan University,Economics,Bachelor,https://econ.ntu.edu.tw/en/bachelors-english-taught-program,https://admissions.ntu.edu.tw/,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,NTU officially lists Economics among its undergraduate English-taught programmes.,2026-08-22
prog_tw_002,uni_tw_001,National Taiwan University,Civil Engineering,Bachelor,https://www.ce.ntu.edu.tw/en/programs/undergraduate-programs/,https://admissions.ntu.edu.tw/,verified_yes,duration_years; language_of_instruction,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Official Civil Engineering page explicitly states four years of training and provides a full English-taught track.,2026-08-22
prog_tw_003,uni_tw_001,National Taiwan University,Mechanical Engineering,Bachelor,https://admissions.ntu.edu.tw/learn/taught-programs/,https://admissions.ntu.edu.tw/,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Programme identity and English-taught availability are verified; duration remains blank without programme-specific evidence in this pass.,2026-08-22
prog_tw_004,uni_tw_002,National Tsing Hua University,Chemical Engineering,Bachelor,https://apply.nthu.edu.tw/en/department/24-chemical-engineering,https://apply.nthu.edu.tw/en/article/172-2026-fall-undergraduate,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Official portal states sufficient English-taught courses are available to meet graduation requirements.,2026-08-22
prog_tw_005,uni_tw_002,National Tsing Hua University,Electrical Engineering,Bachelor,https://apply.nthu.edu.tw/tw/department/64-electrical-engineering,https://apply.nthu.edu.tw/en/article/172-2026-fall-undergraduate,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Official programme page reports sufficient English-taught courses for graduation. Duration is not inferred.,2026-08-22
prog_tw_006,uni_tw_002,National Tsing Hua University,International Bachelor Degree Program in Electrical Engineering and Computer Science,Bachelor,https://ibp.nthu.edu.tw/ertss-EECS.html,https://apply.nthu.edu.tw/en/article/172-2026-fall-undergraduate,verified_yes,duration_years; language_of_instruction; ielts_requirement,study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; toefl_requirement; intake; application_deadline,Official NTHU source describes this as a four-year fully English-taught Bachelor programme. Current programme-specific admission material specifies IELTS 6.0 or equivalent; no TOEFL numeric value is invented.,2026-08-22
prog_tw_007,uni_tw_003,National Yang Ming Chiao Tung University,Computer Science and Information Engineering,Bachelor,https://www.cs.nycu.edu.tw/admission/undergraduate?locale=en,https://oia.nycu.edu.tw/oia/en/app/artwebsite/view?id=786&module=artwebsite&serno=aa792259-32d5-422d-b382-3171b79f64f3,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current undergraduate programme and current international admission are verified. Whole-programme teaching language remains Unknown.,2026-08-22
prog_tw_008,uni_tw_003,National Yang Ming Chiao Tung University,Microelectronics,Bachelor,https://www.nycu.edu.tw/aa/ch/app/data/view?id=2511&module=nycu0069&serno=26a3c36f-d833-4a3d-8e18-571d2ce72de4,https://oia.nycu.edu.tw/oia/en/app/artwebsite/view?id=786&module=artwebsite&serno=aa792259-32d5-422d-b382-3171b79f64f3,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current AY2026 undergraduate curriculum identifies the Department of Microelectronics. Teaching language remains Unknown rather than inferred.,2026-08-22
prog_tw_009,uni_tw_003,National Yang Ming Chiao Tung University,Electrophysics,Bachelor,https://www.nycu.edu.tw/aa/ch/app/data/view?id=2511&module=nycu0069&serno=26a3c36f-d833-4a3d-8e18-571d2ce72de4,https://oia.nycu.edu.tw/oia/en/app/artwebsite/view?id=786&module=artwebsite&serno=aa792259-32d5-422d-b382-3171b79f64f3,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current Bachelor identity and international eligibility verified. Language remains Unknown.,2026-08-22
prog_tw_010,uni_tw_004,National Cheng Kung University,Computer Science and Information Engineering,Bachelor,https://management.oia.ncku.edu.tw/intladmission/application/brochure/applyIntladmissionSn/28,https://oia.ncku.edu.tw/p/404-1032-229816.php?Lang=en,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current international programme identity verified. Language remains Unknown because individual English courses are not treated as proof of whole-programme English MOI.,2026-08-22
