program_id,university_id,university_name,country_id,program_slot,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_th_001,uni_th_001,Chulalongkorn University,country_th,1,Information and Communication Engineering,Information and Communication Engineering,Bachelor,4,,,,,,,,,,,,https://www.chula.ac.th/en/programs/25490011105451/,VERIFIED,https://www.chula.ac.th/en/programs/25490011105451/,http://www.chula.ac.th/en/,VERIFIED,Chulalongkorn official programme page verifies the international B.Eng. programme. ISE official 2026 International Admission explicitly covers foreign students.,2026-08-22,verified_yes,https://admission.ise.eng.chula.ac.th/Inter/,Chulalongkorn official programme page verifies the international B.Eng. programme. ISE official 2026 International Admission explicitly covers foreign students.,2026-08-22
prog_th_002,uni_th_001,Chulalongkorn University,country_th,2,Nano Engineering,Nano Engineering,Bachelor,,,,,,,,,,,,,https://www.eng.chula.ac.th/en/academics/bachelor,VERIFIED,https://www.eng.chula.ac.th/en/academics/bachelor,http://www.chula.ac.th/en/,VERIFIED,Chula Engineering official bachelor list identifies Nano Engineering as an international programme. ISE 2026 International Admission covers foreign students.,2026-08-22,verified_yes,https://admission.ise.eng.chula.ac.th/Inter/,Chula Engineering official bachelor list identifies Nano Engineering as an international programme. ISE 2026 International Admission covers foreign students.,2026-08-22
prog_th_003,uni_th_001,Chulalongkorn University,country_th,3,Aerospace Engineering,Aerospace Engineering,Bachelor,,,,,,,,,,,,,https://www.eng.chula.ac.th/en/academics/bachelor,VERIFIED,https://www.eng.chula.ac.th/en/academics/bachelor,http://www.chula.ac.th/en/,VERIFIED,Chula Engineering official bachelor list identifies Aerospace Engineering as an international programme. ISE 2026 International Admission covers foreign students.,2026-08-22,verified_yes,https://admission.ise.eng.chula.ac.th/Inter/,Chula Engineering official bachelor list identifies Aerospace Engineering as an international programme. ISE 2026 International Admission covers foreign students.,2026-08-22
prog_th_004,uni_th_002,Mahidol University,country_th,1,Computer Science,Computer Science,Bachelor,4,Full-time,,,,,,,6,69,,,https://muic.mahidol.ac.th/en/programs/science/major/major-in-computer-science/,VERIFIED,https://muic.mahidol.ac.th/en/programs/science/major/major-in-computer-science/,http://www.mahidol.ac.th/en/,VERIFIED,MUIC official programme page verifies the B.Sc. Computer Science international programme and four-year full-time structure. MUIC Overseas Students admissions explicitly accepts Thai or foreign nationals residing abroad.,2026-08-22,verified_yes,https://muic.mahidol.ac.th/en/study-at-muic/admissions-requirement/undergraduate-admission/overseas-students/,MUIC official programme page verifies the B.Sc. Computer Science international programme and four-year full-time structure. MUIC Overseas Students admissions explicitly accepts Thai or foreign nationals residing abroad.,2026-08-22
prog_th_005,uni_th_002,Mahidol University,country_th,2,Biological Sciences,Biological Sciences,Bachelor,4,Full-time,,,,,,,6,69,,,https://muic.mahidol.ac.th/en/programs/science/major/major-in-biological-science,VERIFIED,https://muic.mahidol.ac.th/en/programs/science/major/major-in-biological-science,http://www.mahidol.ac.th/en/,VERIFIED,MUIC official programme page verifies the B.Sc. Biological Sciences international programme and four-year full-time structure. Overseas admission accepts foreign nationals.,2026-08-22,verified_yes,https://muic.mahidol.ac.th/en/study-at-muic/admissions-requirement/undergraduate-admission/overseas-students/,MUIC official programme page verifies the B.Sc. Biological Sciences international programme and four-year full-time structure. Overseas admission accepts foreign nationals.,2026-08-22
prog_th_006,uni_th_002,Mahidol University,country_th,3,International Business,International Business,Bachelor,4,Full-time,,,,,,,6,69,,,https://muic.mahidol.ac.th/en/programs/business-administration/major/major-in-international-business,VERIFIED,https://muic.mahidol.ac.th/en/programs/business-administration/major/major-in-international-business,http://www.mahidol.ac.th/en/,VERIFIED,MUIC official programme page verifies the B.B.A. International Business international programme and four-year full-time structure. Overseas admission accepts foreign nationals.,2026-08-22,verified_yes,https://muic.mahidol.ac.th/en/study-at-muic/admissions-requirement/undergraduate-admission/overseas-students/,MUIC official programme page verifies the B.B.A. International Business international programme and four-year full-time structure. Overseas admission accepts foreign nationals.,2026-08-22
prog_th_007,uni_th_003,Chiang Mai University,country_th,1,Economics,Economics,Bachelor,,,,,,,,,,,,,https://admission.reg.cmu.ac.th/ipas/main/,VERIFIED,https://admission.reg.cmu.ac.th/ipas/main/,http://www.cmu.ac.th/,VERIFIED,CMU-IPAS 2026 officially lists Bachelor of Economics among international programmes. The same system provides a dedicated Foreign Applicant registration using passport details.,2026-08-22,verified_yes,https://admission.reg.cmu.ac.th/ipas/main/index.php?action=apply&utype=I,CMU-IPAS 2026 officially lists Bachelor of Economics among international programmes. The same system provides a dedicated Foreign Applicant registration using passport details.,2026-08-22
prog_th_008,uni_th_003,Chiang Mai University,country_th,2,Software Engineering,Software Engineering,Bachelor,,,,,,,,,,,,,https://admission.reg.cmu.ac.th/ipas/main/,VERIFIED,https://admission.reg.cmu.ac.th/ipas/main/,http://www.cmu.ac.th/,VERIFIED,CMU-IPAS 2026 officially lists B.Sc. Software Engineering. Foreign applicants have a dedicated passport-based registration route.,2026-08-22,verified_yes,https://admission.reg.cmu.ac.th/ipas/main/index.php?action=apply&utype=I,CMU-IPAS 2026 officially lists B.Sc. Software Engineering. Foreign applicants have a dedicated passport-based registration route.,2026-08-22
prog_th_009,uni_th_003,Chiang Mai University,country_th,3,Civil Engineering,Civil Engineering,Bachelor,,,,,,,,,,,,,https://admission.reg.cmu.ac.th/ipas/main/,VERIFIED,https://admission.reg.cmu.ac.th/ipas/main/,http://www.cmu.ac.th/,VERIFIED,CMU-IPAS 2026 officially lists B.Eng. Civil Engineering. Foreign applicants have a dedicated passport-based registration route.,2026-08-22,verified_yes,https://admission.reg.cmu.ac.th/ipas/main/index.php?action=apply&utype=I,CMU-IPAS 2026 officially lists B.Eng. Civil Engineering. Foreign applicants have a dedicated passport-based registration route.,2026-08-22
prog_th_010,uni_th_004,Thammasat University,country_th,1,Chemical Engineering,Chemical Engineering,Bachelor,,,English,,,,,,,,,,https://admissions.siit.tu.ac.th/undergraduate/,VERIFIED,https://admissions.siit.tu.ac.th/undergraduate/,https://tu.ac.th,VERIFIED,SIIT official undergraduate page lists Chemical Engineering among its international programmes and provides the 2026 Excellent Foreign Students admission route.,2026-08-22,verified_yes,https://applyadmissions.siit.tu.ac.th/,SIIT official undergraduate page lists Chemical Engineering among its international programmes and provides the 2026 Excellent Foreign Students admission route.,2026-08-22
prog_th_011,uni_th_004,Thammasat University,country_th,2,Civil Engineering,Civil Engineering,Bachelor,,,English,,,,,,,,,,https://admissions.siit.tu.ac.th/undergraduate/,VERIFIED,https://admissions.siit.tu.ac.th/undergraduate/,https://tu.ac.th,VERIFIED,SIIT official undergraduate page lists Civil Engineering and a 2026 Excellent Foreign Students admission route.,2026-08-22,verified_yes,https://applyadmissions.siit.tu.ac.th/,SIIT official undergraduate page lists Civil Engineering and a 2026 Excellent Foreign Students admission route.,2026-08-22
prog_th_012,uni_th_004,Thammasat University,country_th,3,Electrical Engineering,Electrical Engineering,Bachelor,,,English,,,,,,,,,,https://admissions.siit.tu.ac.th/undergraduate/,VERIFIED,https://admissions.siit.tu.ac.th/undergraduate/,https://tu.ac.th,VERIFIED,SIIT official undergraduate page lists Electrical Engineering and a 2026 Excellent Foreign Students admission route.,2026-08-22,verified_yes,https://applyadmissions.siit.tu.ac.th/,SIIT official undergraduate page lists Electrical Engineering and a 2026 Excellent Foreign Students admission route.,2026-08-22
prog_th_013,uni_th_005,Kasetsart University,country_th,1,Software and Knowledge Engineering,Software and Knowledge Engineering,Bachelor,,,English,,,,,,,,,,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,VERIFIED,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,http://www.ku.ac.th/web2012/index.php?c=adms&m=mainpage1,VERIFIED,Kasetsart University's official Application for KU International Students portal lists Software and Knowledge Engineering as a Bachelor international programme.,2026-08-22,verified_yes,https://iad.intaff.ku.ac.th/portal/webinter/,Kasetsart University's official Application for KU International Students portal lists Software and Knowledge Engineering as a Bachelor international programme.,2026-08-22
prog_th_014,uni_th_005,Kasetsart University,country_th,2,Digital Manufacturing and Robotics Integration Engineering,Digital Manufacturing and Robotics Integration Engineering,Bachelor,,,English,,,,,,,,,,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,VERIFIED,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,http://www.ku.ac.th/web2012/index.php?c=adms&m=mainpage1,VERIFIED,Kasetsart University's international-student programme portal lists this Bachelor international programme under the Faculty of Engineering.,2026-08-22,verified_yes,https://iad.intaff.ku.ac.th/portal/webinter/,Kasetsart University's international-student programme portal lists this Bachelor international programme under the Faculty of Engineering.,2026-08-22
prog_th_015,uni_th_005,Kasetsart University,country_th,3,Marketing (KUBIM),Marketing,Bachelor,,,English,,,,,,,,,,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,VERIFIED,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,http://www.ku.ac.th/web2012/index.php?c=adms&m=mainpage1,VERIFIED,Kasetsart University's international-student programme portal lists Marketing (KUBIM) as a Bachelor international programme.,2026-08-22,verified_yes,https://iad.intaff.ku.ac.th/portal/webinter/,Kasetsart University's international-student programme portal lists Marketing (KUBIM) as a Bachelor international programme.,2026-08-22
prog_th_016,uni_th_006,Khon Kaen University,country_th,1,Global Business Management,Global Business Management,Bachelor,,,,,,,,,,,,,https://www.ic.kku.ac.th/,VERIFIED,https://www.ic.kku.ac.th/,https://www.kku.ac.th/en/,VERIFIED,KKUIC official programme list verifies B.B.A. Global Business Management. KKUIC 2026 Direct Admission explicitly recruits Thai and international students.,2026-08-22,verified_yes,https://www.ic.kku.ac.th/admission/bachelors-degree-admissions/,KKUIC official programme list verifies B.B.A. Global Business Management. KKUIC 2026 Direct Admission explicitly recruits Thai and international students.,2026-08-22
prog_th_017,uni_th_006,Khon Kaen University,country_th,2,International Entrepreneurship,International Entrepreneurship,Bachelor,,,,,,,,,,,,,https://www.ic.kku.ac.th/,VERIFIED,https://www.ic.kku.ac.th/,https://www.kku.ac.th/en/,VERIFIED,KKUIC official programme list verifies B.B.A. International Entrepreneurship. 2026 Direct Admission explicitly recruits international students.,2026-08-22,verified_yes,https://www.ic.kku.ac.th/admission/bachelors-degree-admissions/,KKUIC official programme list verifies B.B.A. International Entrepreneurship. 2026 Direct Admission explicitly recruits international students.,2026-08-22
prog_th_018,uni_th_006,Khon Kaen University,country_th,3,International Marketing,International Marketing,Bachelor,,,,,,,,,,,,,https://www.ic.kku.ac.th/,VERIFIED,https://www.ic.kku.ac.th/,https://www.kku.ac.th/en/,VERIFIED,KKUIC official programme list verifies B.B.A. International Marketing. 2026 Direct Admission explicitly recruits international students.,2026-08-22,verified_yes,https://www.ic.kku.ac.th/admission/bachelors-degree-admissions/,KKUIC official programme list verifies B.B.A. International Marketing. 2026 Direct Admission explicitly recruits international students.,2026-08-22
