program_id,university_id,university_name,country_id,program_slot,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_kr_001,uni_kr_001,Seoul National University,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://www.snu.ac.kr,PENDING,,,PENDING,,,
prog_kr_002,uni_kr_001,Seoul National University,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://www.snu.ac.kr,PENDING,,,PENDING,,,
prog_kr_003,uni_kr_001,Seoul National University,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://www.snu.ac.kr,PENDING,,,PENDING,,,
prog_kr_004,uni_kr_002,Korea Advanced Institute of Science and Technology,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://www.kaist.ac.kr,PENDING,,,PENDING,,,
prog_kr_005,uni_kr_002,Korea Advanced Institute of Science and Technology,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://www.kaist.ac.kr,PENDING,,,PENDING,,,
prog_kr_006,uni_kr_002,Korea Advanced Institute of Science and Technology,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://www.kaist.ac.kr,PENDING,,,PENDING,,,
prog_kr_007,uni_kr_003,Yonsei University,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://www.yonsei.ac.kr,PENDING,,,PENDING,,,
prog_kr_008,uni_kr_003,Yonsei University,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://www.yonsei.ac.kr,PENDING,,,PENDING,,,
prog_kr_009,uni_kr_003,Yonsei University,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://www.yonsei.ac.kr,PENDING,,,PENDING,,,
prog_kr_010,uni_kr_004,Korea University,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://www.korea.ac.kr,PENDING,,,PENDING,,,
prog_kr_011,uni_kr_004,Korea University,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://www.korea.ac.kr,PENDING,,,PENDING,,,
prog_kr_012,uni_kr_004,Korea University,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://www.korea.ac.kr,PENDING,,,PENDING,,,
prog_kr_013,uni_kr_005,Sungkyunkwan University,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://skku.edu,PENDING,,,PENDING,,,
prog_kr_014,uni_kr_005,Sungkyunkwan University,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://skku.edu,PENDING,,,PENDING,,,
prog_kr_015,uni_kr_005,Sungkyunkwan University,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://skku.edu,PENDING,,,PENDING,,,
prog_kr_016,uni_kr_006,Pohang University of Science and Technology,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,http://www.postech.ac.kr/,PENDING,,,PENDING,,,
prog_kr_017,uni_kr_006,Pohang University of Science and Technology,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,http://www.postech.ac.kr/,PENDING,,,PENDING,,,
