program_id,university_id,university_name,program_name,degree_level,programme_source_url,international_source_url,international_applicants_status,verified_fields,unresolved_fields,evidence_note,verified_at
prog_th_001,uni_th_001,Chulalongkorn University,Information and Communication Engineering,Bachelor,https://www.chula.ac.th/en/programs/25490011105451/,https://ise.eng.chula.ac.th/news/detail?gid=1-008-002-002&id=1785,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|international_applicants_status,study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,Chulalongkorn official programme page verifies the international B.Eng. programme. ISE official 2026 International Admission explicitly covers foreign students.,2026-08-22
prog_th_002,uni_th_001,Chulalongkorn University,Nano Engineering,Bachelor,https://www.eng.chula.ac.th/en/academics/bachelor,https://ise.eng.chula.ac.th/news/detail?gid=1-008-002-002&id=1785,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,Chula Engineering official bachelor list identifies Nano Engineering as an international programme. ISE 2026 International Admission covers foreign students.,2026-08-22
prog_th_003,uni_th_001,Chulalongkorn University,Aerospace Engineering,Bachelor,https://www.eng.chula.ac.th/en/academics/bachelor,https://ise.eng.chula.ac.th/news/detail?gid=1-008-002-002&id=1785,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,Chula Engineering official bachelor list identifies Aerospace Engineering as an international programme. ISE 2026 International Admission covers foreign students.,2026-08-22
prog_th_004,uni_th_002,Mahidol University,Computer Science,Bachelor,https://muic.mahidol.ac.th/en/programs/science/major/major-in-computer-science/,https://muic.mahidol.ac.th/en/study-at-muic/admissions-requirement/undergraduate-admission/overseas-students/,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|study_mode|ielts_requirement|toefl_requirement|international_applicants_status,language_of_instruction|tuition_fee|minimum_gpa|intake|application_deadline,MUIC official programme page verifies the B.Sc. Computer Science international programme and four-year full-time structure. MUIC Overseas Students admissions explicitly accepts Thai or foreign nationals residing abroad.,2026-08-22
prog_th_005,uni_th_002,Mahidol University,Biological Sciences,Bachelor,https://muic.mahidol.ac.th/en/programs/science/major/major-in-biological-science,https://muic.mahidol.ac.th/en/study-at-muic/admissions-requirement/undergraduate-admission/overseas-students/,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|study_mode|ielts_requirement|toefl_requirement|international_applicants_status,language_of_instruction|tuition_fee|minimum_gpa|intake|application_deadline,MUIC official programme page verifies the B.Sc. Biological Sciences international programme and four-year full-time structure. Overseas admission accepts foreign nationals.,2026-08-22
prog_th_006,uni_th_002,Mahidol University,International Business,Bachelor,https://muic.mahidol.ac.th/en/programs/business-administration/major/major-in-international-business,https://muic.mahidol.ac.th/en/study-at-muic/admissions-requirement/undergraduate-admission/overseas-students/,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|study_mode|ielts_requirement|toefl_requirement|international_applicants_status,language_of_instruction|tuition_fee|minimum_gpa|intake|application_deadline,MUIC official programme page verifies the B.B.A. International Business international programme and four-year full-time structure. Overseas admission accepts foreign nationals.,2026-08-22
prog_th_007,uni_th_003,Chiang Mai University,Economics,Bachelor,https://admission.reg.cmu.ac.th/ipas/main/,https://admission.reg.cmu.ac.th/ipas/main/index.php?action=apply&utype=I,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,CMU-IPAS 2026 officially lists Bachelor of Economics among international programmes. The same system provides a dedicated Foreign Applicant registration using passport details.,2026-08-22
prog_th_008,uni_th_003,Chiang Mai University,Software Engineering,Bachelor,https://admission.reg.cmu.ac.th/ipas/main/,https://admission.reg.cmu.ac.th/ipas/main/index.php?action=apply&utype=I,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,CMU-IPAS 2026 officially lists B.Sc. Software Engineering. Foreign applicants have a dedicated passport-based registration route.,2026-08-22
prog_th_009,uni_th_003,Chiang Mai University,Civil Engineering,Bachelor,https://admission.reg.cmu.ac.th/ipas/main/,https://admission.reg.cmu.ac.th/ipas/main/index.php?action=apply&utype=I,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,CMU-IPAS 2026 officially lists B.Eng. Civil Engineering. Foreign applicants have a dedicated passport-based registration route.,2026-08-22
prog_th_010,uni_th_004,Thammasat University,Chemical Engineering,Bachelor,https://admissions.siit.tu.ac.th/undergraduate/,https://admissions.siit.tu.ac.th/undergraduate/,verified_yes,program_name|field_of_study|degree_level|program_url|language_of_instruction|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,SIIT official undergraduate page lists Chemical Engineering among its international programmes and provides the 2026 Excellent Foreign Students admission route.,2026-08-22
prog_th_011,uni_th_004,Thammasat University,Civil Engineering,Bachelor,https://admissions.siit.tu.ac.th/undergraduate/,https://admissions.siit.tu.ac.th/undergraduate/,verified_yes,program_name|field_of_study|degree_level|program_url|language_of_instruction|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,SIIT official undergraduate page lists Civil Engineering and a 2026 Excellent Foreign Students admission route.,2026-08-22
prog_th_012,uni_th_004,Thammasat University,Electrical Engineering,Bachelor,https://admissions.siit.tu.ac.th/undergraduate/,https://admissions.siit.tu.ac.th/undergraduate/,verified_yes,program_name|field_of_study|degree_level|program_url|language_of_instruction|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,SIIT official undergraduate page lists Electrical Engineering and a 2026 Excellent Foreign Students admission route.,2026-08-22
prog_th_013,uni_th_005,Kasetsart University,Software and Knowledge Engineering,Bachelor,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,verified_yes,program_name|field_of_study|degree_level|program_url|language_of_instruction|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,Kasetsart University's official Application for KU International Students portal lists Software and Knowledge Engineering as a Bachelor international programme.,2026-08-22
prog_th_014,uni_th_005,Kasetsart University,Digital Manufacturing and Robotics Integration Engineering,Bachelor,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,verified_yes,program_name|field_of_study|degree_level|program_url|language_of_instruction|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,Kasetsart University's international-student programme portal lists this Bachelor international programme under the Faculty of Engineering.,2026-08-22
prog_th_015,uni_th_005,Kasetsart University,Marketing (KUBIM),Bachelor,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,https://iad.intaff.ku.ac.th/portal/webinter/programs.php,verified_yes,program_name|field_of_study|degree_level|program_url|language_of_instruction|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,Kasetsart University's international-student programme portal lists Marketing (KUBIM) as a Bachelor international programme.,2026-08-22
prog_th_016,uni_th_006,Khon Kaen University,Global Business Management,Bachelor,https://www.ic.kku.ac.th/,https://www.ic.kku.ac.th/admission/bachelors-degree-admissions/,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,KKUIC official programme list verifies B.B.A. Global Business Management. KKUIC 2026 Direct Admission explicitly recruits Thai and international students.,2026-08-22
prog_th_017,uni_th_006,Khon Kaen University,International Entrepreneurship,Bachelor,https://www.ic.kku.ac.th/,https://www.ic.kku.ac.th/admission/bachelors-degree-admissions/,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,KKUIC official programme list verifies B.B.A. International Entrepreneurship. 2026 Direct Admission explicitly recruits international students.,2026-08-22
prog_th_018,uni_th_006,Khon Kaen University,International Marketing,Bachelor,https://www.ic.kku.ac.th/,https://www.ic.kku.ac.th/admission/bachelors-degree-admissions/,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,KKUIC official programme list verifies B.B.A. International Marketing. 2026 Direct Admission explicitly recruits international students.,2026-08-22
prog_th_019,uni_th_007,Prince of Songkla University,Islamic Business Innovation,Bachelor,https://fais.psu.ac.th/en/news/view/314,https://fais.psu.ac.th/en/news/view/314,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,PSU Faculty of Islamic Sciences 2026 announcement explicitly lists Islamic Business Innovation under its International Student Admission Project.,2026-08-22
prog_th_020,uni_th_007,Prince of Songkla University,Islamic Studies and Islamic Law,Bachelor,https://fais.psu.ac.th/en/news/view/314,https://fais.psu.ac.th/en/news/view/314,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,PSU 2026 International Student Admission Project explicitly lists Islamic Studies and Islamic Law.,2026-08-22
prog_th_021,uni_th_007,Prince of Songkla University,Islamic Studies (International Program),Bachelor,https://fais.psu.ac.th/en/news/view/314,https://fais.psu.ac.th/en/news/view/314,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,PSU 2026 International Student Admission Project explicitly lists Islamic Studies International Program.,2026-08-22
prog_th_022,uni_th_008,King Mongkut's University of Technology Thonburi,Computer Engineering,Bachelor,https://iadmission.kmutt.ac.th/programs/bachelor,https://iadmission.kmutt.ac.th/apply/international-student/undergraduate-level/transfer,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|language_of_instruction|international_applicants_status,study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,KMUTT international admissions officially lists Computer Engineering among international Bachelor programmes and provides an international-student application process.,2026-08-22
prog_th_023,uni_th_008,King Mongkut's University of Technology Thonburi,Chemical Engineering,Bachelor,https://iadmission.kmutt.ac.th/programs/bachelor,https://iadmission.kmutt.ac.th/apply/international-student/undergraduate-level/transfer,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|language_of_instruction|international_applicants_status,study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,KMUTT international admissions officially lists Chemical Engineering and provides an international-student application process.,2026-08-22
prog_th_024,uni_th_008,King Mongkut's University of Technology Thonburi,Civil Engineering,Bachelor,https://iadmission.kmutt.ac.th/programs/bachelor,https://iadmission.kmutt.ac.th/apply/international-student/undergraduate-level/transfer,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|language_of_instruction|international_applicants_status,study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,KMUTT international admissions officially lists Civil Engineering and provides an international-student application process.,2026-08-22
prog_th_025,uni_th_009,King Mongkut's Institute of Technology Ladkrabang,Biomedical Engineering,Bachelor,https://www.eng.kmitl.ac.th/siie-international-programs/,https://www.reg.kmitl.ac.th/TCAS_old/news/files/2569_1_news1_4465_2026_04_16-15-41-08_43569.pdf,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|international_applicants_status,study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,KMITL School of Engineering lists Biomedical Engineering among SIIE international Bachelor programmes. Current 2026 Direct Admission explicitly targets international students.,2026-08-22
prog_th_026,uni_th_009,King Mongkut's Institute of Technology Ladkrabang,Civil Engineering,Bachelor,https://www.eng.kmitl.ac.th/siie-international-programs/,https://www.reg.kmitl.ac.th/TCAS_old/news/files/2569_1_news1_4465_2026_04_16-15-41-08_43569.pdf,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|international_applicants_status,study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,KMITL SIIE lists Civil Engineering as an international Bachelor programme. 2026 Direct Admission covers international students in all B.Eng. international programmes.,2026-08-22
prog_th_027,uni_th_009,King Mongkut's Institute of Technology Ladkrabang,Robotics and AI Engineering,Bachelor,https://www.eng.kmitl.ac.th/siie-international-programs/,https://www.reg.kmitl.ac.th/TCAS_old/news/files/2569_1_news1_4465_2026_04_16-15-41-08_43569.pdf,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|international_applicants_status,study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,KMITL SIIE lists Robotics and AI Engineering as an international Bachelor programme. 2026 Direct Admission covers international applicants.,2026-08-22
prog_th_028,uni_th_010,Asian Institute of Technology,Data Science and Artificial Intelligence,Master,https://ait.ac.th/program/data-science-and-ai/,https://ait.ac.th/eligibility/,verified_yes,program_name|field_of_study|degree_level|program_url|duration_years|language_of_instruction|ielts_requirement|toefl_requirement|international_applicants_status,study_mode|tuition_fee|minimum_gpa|intake|application_deadline,AIT official programme page verifies the MSc/MEng Data Science and AI programme. AIT admission policy provides equal academic opportunities regardless of national origin and publishes overseas applicant deadlines.,2026-08-22
prog_th_029,uni_th_010,Asian Institute of Technology,Business Analytics and Digital Transformation,Master,https://ait.ac.th/study/masters-degree-programs/,https://ait.ac.th/eligibility/,verified_yes,program_name|field_of_study|degree_level|program_url|language_of_instruction|ielts_requirement|toefl_requirement|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|intake|application_deadline,AIT current Master's programme list verifies Business Analytics and Digital Transformation. AIT eligibility and admissions apply regardless of national origin.,2026-08-22
prog_th_030,uni_th_010,Asian Institute of Technology,International Finance,Master,https://ait.ac.th/study/masters-degree-programs/,https://ait.ac.th/eligibility/,verified_yes,program_name|field_of_study|degree_level|program_url|language_of_instruction|ielts_requirement|toefl_requirement|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|intake|application_deadline,AIT current Master's programme list verifies International Finance. AIT eligibility and admissions apply regardless of national origin.,2026-08-22
prog_th_031,uni_th_011,Mae Fah Luang University,English,Bachelor,https://en.mfu.ac.th/en-news/en-news-detail/detail/News/40441.html,https://en.mfu.ac.th/en-news/en-news-detail/detail/News/40441.html,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,"MFU official 2026 scholarship results identify a Myanmar recipient in the Bachelor of Arts Programme in English, providing direct evidence of international enrolment.",2026-08-22
prog_th_032,uni_th_011,Mae Fah Luang University,Business Administration,Bachelor,https://en.mfu.ac.th/en-news/en-news-detail/detail/News/40441.html,https://en.mfu.ac.th/en-news/en-news-detail/detail/News/40441.html,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,MFU official 2026 scholarship results identify Myanmar recipients in the Bachelor of Business Administration Programme.,2026-08-22
prog_th_033,uni_th_011,Mae Fah Luang University,Software Engineering,Bachelor,https://en.mfu.ac.th/en-news/en-news-detail/detail/News/40441.html,https://en.mfu.ac.th/en-news/en-news-detail/detail/News/40441.html,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,MFU official 2026 scholarship results identify a Myanmar recipient in the Bachelor of Engineering Programme in Software Engineering.,2026-08-22
prog_th_034,uni_th_012,Burapha University,Business Administration,Bachelor,https://www.buu.ac.th/en/bachelors-degree/,https://www.buu.ac.th/en/international-program-2/,unknown,program_name|field_of_study|degree_level|program_url|language_of_instruction|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,"Burapha official sources verify the Business Administration international programme and state that International College programmes are taught in English. A sufficiently current programme-specific foreign degree-applicant route was not confirmed, so eligibility remains unknown.",2026-08-22
prog_th_035,uni_th_012,Burapha University,Logistics and Supply Chain Management,Bachelor,https://www.buu.ac.th/en/bachelors-degree/,https://www.buu.ac.th/en/international-program-2/,unknown,program_name|field_of_study|degree_level|program_url|language_of_instruction|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,Burapha official sources verify the Logistics and Supply Chain Management international programme and English-medium International College instruction. Current foreign degree-applicant eligibility was not sufficiently explicit.,2026-08-22
prog_th_036,uni_th_012,Burapha University,"Global Hospitality, Airline and Event Management",Bachelor,https://www.buu.ac.th/en/bachelors-degree/,https://www.buu.ac.th/en/international-program-2/,unknown,program_name|field_of_study|degree_level|program_url|language_of_instruction|international_applicants_status,duration_years|study_mode|tuition_fee|minimum_gpa|ielts_requirement|toefl_requirement|intake|application_deadline,"Burapha official Bachelor programme list verifies Global Hospitality, Airline and Event Management as an international programme. Current explicit foreign degree-applicant eligibility was not confirmed, therefore status remains unknown.",2026-08-22
