program_id,university_id,university_name,program_name,degree_level,programme_source_url,international_source_url,international_applicants_status,verified_fields,unresolved_fields,evidence_note,verified_at
prog_th_073,uni_th_025,King Mongkut's University of Technology North Bangkok,Aerospace Engineering,Bachelor,https://www.eng.kmutnb.ac.th/ciep/aerospace-engineering/,https://www.eng.kmutnb.ac.th/ciep/admission/,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|ielts_requirement|toefl_requirement,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|intake|application_deadline,KMUTNB Faculty of Engineering officially verifies Aerospace Engineering as an International Program. Current 2026/2027 CIEP admission explicitly allows international students to apply.,2026-08-22
prog_th_074,uni_th_025,King Mongkut's University of Technology North Bangkok,Mechanical Engineering for Design and Innovation,Bachelor,https://www.eng.kmutnb.ac.th/ciep/department-of-mechanical-and-aerospace-engineering/,https://www.eng.kmutnb.ac.th/ciep/admission/,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|ielts_requirement|toefl_requirement,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|intake|application_deadline,KMUTNB officially verifies the Bachelor of Engineering in Mechanical Engineering for Design and Innovation as an International Program. Current CIEP admission explicitly accepts international applicants.,2026-08-22
prog_th_075,uni_th_025,King Mongkut's University of Technology North Bangkok,Materials Engineering and Design,Bachelor,https://www.eng.kmutnb.ac.th/ciep/admission/,https://www.eng.kmutnb.ac.th/ciep/admission/,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|ielts_requirement|toefl_requirement,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|intake|application_deadline,KMUTNB current CIEP admission lists Materials Engineering and Design as an International Program and explicitly permits international students to apply.,2026-08-22
prog_th_076,uni_th_026,Rajamangala University of Technology Thanyaburi,International Business Administration,Bachelor,https://bus.rmutt.ac.th/download/documentInter/International_Program.pdf,https://bus.rmutt.ac.th/inter-foreignstd/,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,RMUTT Faculty of Business Administration officially lists International Business Administration within its Bachelor of Business Administration International Program. The faculty maintains a dedicated International Program Application route for foreign students requiring passport and overseas-equivalent school credentials.,2026-08-22
prog_th_077,uni_th_026,Rajamangala University of Technology Thanyaburi,Logistics and Supply Chain Management,Bachelor,https://bus.rmutt.ac.th/download/documentInter/International_Program.pdf,https://bus.rmutt.ac.th/inter-foreignstd/,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,RMUTT Faculty of Business Administration officially lists Logistics and Supply Chain Management within its Bachelor of Business Administration International Program. The faculty maintains a dedicated International Program Application route for foreign students requiring passport and overseas-equivalent school credentials.,2026-08-22
prog_th_078,uni_th_026,Rajamangala University of Technology Thanyaburi,Marketing,Bachelor,https://bus.rmutt.ac.th/download/documentInter/International_Program.pdf,https://bus.rmutt.ac.th/inter-foreignstd/,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,RMUTT Faculty of Business Administration officially lists Marketing within its Bachelor of Business Administration International Program. The faculty maintains a dedicated International Program Application route for foreign students requiring passport and overseas-equivalent school credentials.,2026-08-22
prog_th_079,uni_th_027,Rajamangala University of Technology Suvarnabhumi,Computer Science,Bachelor,https://sci.rmutsb.ac.th/%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3-%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B8%9B%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%8D%E0%B8%B2%E0%B8%95%E0%B8%A3-5/,https://register.rmutsb.ac.th/content/81,unknown,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline|international_applicant_eligibility,"RMUTSB Faculty of Science and Technology officially verifies the Bachelor of Science in Computer Science. Current 2026 university evidence confirms foreign-student provision in the faculty, but a sufficiently explicit programme-specific foreign admission statement was not verified. Eligibility therefore remains unknown.",2026-08-22
prog_th_080,uni_th_027,Rajamangala University of Technology Suvarnabhumi,Multimedia Technology,Bachelor,https://sci.rmutsb.ac.th/multimedia/,https://register.rmutsb.ac.th/content/81,unknown,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline|international_applicant_eligibility,"RMUTSB officially verifies the undergraduate Multimedia Technology programme. The Faculty of Science and Technology has current foreign-student provisions, but exact foreign eligibility for this specific programme was not explicit enough for verified_yes.",2026-08-22
prog_th_081,uni_th_027,Rajamangala University of Technology Suvarnabhumi,Digital Media Technology,Bachelor,https://sci.rmutsb.ac.th/%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3-%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B8%9B%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%8D%E0%B8%B2%E0%B8%95%E0%B8%A3-10/,https://register.rmutsb.ac.th/content/81,unknown,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline|international_applicant_eligibility,"RMUTSB official programme material verifies the Bachelor of Science Program in Digital Media Technology, revised for 2026. Current faculty evidence confirms foreign students are supported, but programme-specific international admission eligibility was not explicitly confirmed.",2026-08-22
prog_th_082,uni_th_028,Rajamangala University of Technology Rattanakosin,International Creative Industry Entrepreneurship,Bachelor,https://rice.rmutr.ac.th/programs/undergraduate/66ecf50beecfb331b31f2c8b,https://rice.rmutr.ac.th/api/media/file/applicationform-2.applicationform,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|duration_years|ielts_requirement|toefl_requirement,study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|intake|application_deadline,RICE officially verifies the B.B.A. International Creative Industry Entrepreneurship programme. RICE maintains foreign/international application material containing this degree programme.,2026-08-22
prog_th_083,uni_th_028,Rajamangala University of Technology Rattanakosin,Teaching English to Speakers of Other Languages,Bachelor,https://rice.rmutr.ac.th/programs/undergraduate/670f3f90c5668488a3b05ff9,https://rice.rmutr.ac.th/programs/undergraduate/670f3f90c5668488a3b05ff9,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|duration_years,study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,RICE official TESOL programme page explicitly states that it accepts both foreign and Thai graduates with high-school-equivalent qualifications.,2026-08-22
