program_id,university_id,university_name,program_name,degree_level,current_tuition_fee,current_tuition_currency,current_tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note,current_program_url,current_last_verified_at
prog_jp_019,uni_jp_007,Hokkaido University,Computer Science and Information Technology,Master,535800,JPY,Annual,2026,Graduate Students,https://intl-student-handbook.oia.hokudai.ac.jp/en/campus_life-en/tuition,2026-08-12T00:00:00,Official Hokkaido University graduate annual tuition. Admission and examination fees are separate.,https://www.ist.hokudai.ac.jp/eng/divisions/,2026-08-09T00:00:00
prog_jp_020,uni_jp_007,Hokkaido University,Media and Network Technologies,Master,535800,JPY,Annual,2026,Graduate Students,https://intl-student-handbook.oia.hokudai.ac.jp/en/campus_life-en/tuition,2026-08-12T00:00:00,Official Hokkaido University graduate annual tuition. Admission and examination fees are separate.,https://www.ist.hokudai.ac.jp/eng/divisions/,2026-08-09T00:00:00
prog_jp_021,uni_jp_007,Hokkaido University,Systems Science and Informatics,Master,535800,JPY,Annual,2026,Graduate Students,https://intl-student-handbook.oia.hokudai.ac.jp/en/campus_life-en/tuition,2026-08-12T00:00:00,Official Hokkaido University graduate annual tuition. Admission and examination fees are separate.,https://www.ist.hokudai.ac.jp/eng/divisions/,2026-08-09T00:00:00
prog_jp_024,uni_jp_008,Institute of Science Tokyo,Graduate major in Artificial Intelligence,Master,635400,JPY,Annual,2026,Graduate Students - Science and Engineering,https://admissions.isct.ac.jp/en/013/graduate/programs/science-and-engineering,2026-08-12T00:00:00,Official annual tuition for Science Tokyo international graduate programs. Enrollment and application fees are separate.,https://www.isct.ac.jp/en/001/about/organizations/school-of-computing,2026-08-09T00:00:00
prog_jp_022,uni_jp_008,Institute of Science Tokyo,Graduate major in Computer Science,Master,635400,JPY,Annual,2026,Graduate Students - Science and Engineering,https://admissions.isct.ac.jp/en/013/graduate/programs/science-and-engineering,2026-08-12T00:00:00,Official annual tuition for Science Tokyo international graduate programs. Enrollment and application fees are separate.,https://www.isct.ac.jp/en/001/about/organizations/school-of-computing,2026-08-09T00:00:00
prog_jp_023,uni_jp_008,Institute of Science Tokyo,Graduate major in Mathematical and Computing Science,Master,635400,JPY,Annual,2026,Graduate Students - Science and Engineering,https://admissions.isct.ac.jp/en/013/graduate/programs/science-and-engineering,2026-08-12T00:00:00,Official annual tuition for Science Tokyo international graduate programs. Enrollment and application fees are separate.,https://www.isct.ac.jp/en/001/about/organizations/school-of-computing,2026-08-09T00:00:00
prog_jp_036,uni_jp_012,Keio University,Double Degree Program,Master,1160000,JPY,Annual,2026,Graduate School of Science and Technology - Master's,https://www.keio.ac.jp/files/92446f38dc587a176fbe87b824d23c53619077cbfe934c78a675c4d4d0e0205c,2026-08-12T00:00:00,AY2026 tuition fee for Keio Graduate School of Science and Technology Master's Program. Registration and other academic fees are not included.,https://www.keio.ac.jp/en/st/admissions-en/dd/,2026-08-09T00:00:00
prog_jp_034,uni_jp_012,Keio University,International Graduate Program,Master,1160000,JPY,Annual,2026,Graduate School of Science and Technology - Master's,https://www.keio.ac.jp/files/92446f38dc587a176fbe87b824d23c53619077cbfe934c78a675c4d4d0e0205c,2026-08-12T00:00:00,AY2026 tuition fee for Keio Graduate School of Science and Technology Master's Program. Registration and other academic fees are not included.,https://www.keio.ac.jp/en/st/admissions-en/masters_program/,2026-08-09T00:00:00
prog_jp_035,uni_jp_012,Keio University,International Graduate Program,PhD,740000,JPY,Annual,2026,Graduate School of Science and Technology - Doctoral,https://www.keio.ac.jp/files/6816f9eafe807a7f8692e6f74b6571aedb22bee444a04be8184f046af8d3a52c,2026-08-12T00:00:00,AY2026 tuition fee for Keio Graduate School of Science and Technology Doctoral Program. Registration and other academic fees are not included.,https://www.keio.ac.jp/en/st/admissions-en/phd_program/,2026-08-09T00:00:00
prog_jp_028,uni_jp_010,Kobe University,Computer Science and Systems Engineering,Bachelor,535800,JPY,Annual,2026,Graduate Students,https://www.kobe-u.ac.jp/en/campus-life/tuition/about/,2026-08-12T00:00:00,Official Kobe University annual graduate tuition. Admission and entrance examination fees are separate.,https://www.csi.kobe-u.ac.jp/english/,2026-08-09T00:00:00
