program_id,university_id,university_name,country_id,program_slot,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_kr_037,uni_kr_013,Ulsan National Institute of Science and Technology,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://www.unist.ac.kr/,PENDING,,,PENDING,,,
prog_kr_038,uni_kr_013,Ulsan National Institute of Science and Technology,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://www.unist.ac.kr/,PENDING,,,PENDING,,,
prog_kr_039,uni_kr_013,Ulsan National Institute of Science and Technology,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://www.unist.ac.kr/,PENDING,,,PENDING,,,
prog_kr_040,uni_kr_014,Gwangju Institute of Science and Technology,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://www.gist.ac.kr/en/,PENDING,,,PENDING,,,
prog_kr_041,uni_kr_014,Gwangju Institute of Science and Technology,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://www.gist.ac.kr/en/,PENDING,,,PENDING,,,
prog_kr_042,uni_kr_014,Gwangju Institute of Science and Technology,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://www.gist.ac.kr/en/,PENDING,,,PENDING,,,
prog_kr_043,uni_kr_015,Ajou University,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://www.ajou.ac.kr/en/,PENDING,,,PENDING,,,
prog_kr_044,uni_kr_015,Ajou University,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://www.ajou.ac.kr/en/,PENDING,,,PENDING,,,
prog_kr_045,uni_kr_015,Ajou University,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://www.ajou.ac.kr/en/,PENDING,,,PENDING,,,
prog_kr_046,uni_kr_016,Chung-Ang University,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://neweng.cau.ac.kr/,PENDING,,,PENDING,,,
prog_kr_047,uni_kr_016,Chung-Ang University,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://neweng.cau.ac.kr/,PENDING,,,PENDING,,,
prog_kr_048,uni_kr_016,Chung-Ang University,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://neweng.cau.ac.kr/,PENDING,,,PENDING,,,
prog_kr_049,uni_kr_017,Chungnam National University,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://plus.cnu.ac.kr/html/en/,PENDING,,,PENDING,,,
prog_kr_050,uni_kr_017,Chungnam National University,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://plus.cnu.ac.kr/html/en/,PENDING,,,PENDING,,,
prog_kr_051,uni_kr_017,Chungnam National University,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://plus.cnu.ac.kr/html/en/,PENDING,,,PENDING,,,
prog_kr_052,uni_kr_018,Chungbuk National University,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://www.chungbuk.ac.kr/site/english/main.do,PENDING,,,PENDING,,,
prog_kr_053,uni_kr_018,Chungbuk National University,country_kr,2,,,,,,,,,,,,,,,,,PENDING,,https://www.chungbuk.ac.kr/site/english/main.do,PENDING,,,PENDING,,,
prog_kr_054,uni_kr_018,Chungbuk National University,country_kr,3,,,,,,,,,,,,,,,,,PENDING,,https://www.chungbuk.ac.kr/site/english/main.do,PENDING,,,PENDING,,,
prog_kr_055,uni_kr_019,Chonnam National University,country_kr,1,,,,,,,,,,,,,,,,,PENDING,,https://global.jnu.ac.kr/,PENDING,,,PENDING,,,
