collection,field,records,present,missing,completeness_percent
countries,country_id,7,7,0,100.0
countries,country_name,7,7,0,100.0
countries,region,7,7,0,100.0
universities,university_id,54,54,0,100.0
universities,university_name,54,54,0,100.0
universities,country_id,54,54,0,100.0
universities,city,54,54,0,100.0
universities,institution_type,54,0,54,0.0
universities,ranking,54,0,54,0.0
universities,official_website,54,54,0,100.0
universities,last_verified_at,54,0,54,0.0
programs,program_id,36,36,0,100.0
programs,university_id,36,36,0,100.0
programs,program_name,36,36,0,100.0
programs,field_of_study,36,36,0,100.0
programs,degree_level,36,36,0,100.0
programs,duration_years,36,36,0,100.0
programs,study_mode,36,36,0,100.0
programs,language_of_instruction,36,36,0,100.0
programs,tuition_fee,36,36,0,100.0
programs,tuition_currency,36,36,0,100.0
programs,tuition_period,36,36,0,100.0
programs,tuition_academic_year,36,36,0,100.0
programs,tuition_source_url,36,36,0,100.0
programs,minimum_gpa,36,0,36,0.0
programs,gpa_scale,36,0,36,0.0
programs,ielts_requirement,36,0,36,0.0
programs,toefl_requirement,36,0,36,0.0
programs,intake,36,9,27,25.0
programs,application_deadline,36,9,27,25.0
programs,program_url,36,36,0,100.0
programs,last_verified_at,36,36,0,100.0
programs,freshness_status,36,36,0,100.0
scholarships,scholarship_id,12,12,0,100.0
scholarships,scholarship_name,12,12,0,100.0
scholarships,country_id,12,12,0,100.0
scholarships,host_university_id,12,12,0,100.0
scholarships,provider_name,12,12,0,100.0
scholarships,degree_levels,12,12,0,100.0
scholarships,funding_type,12,12,0,100.0
scholarships,scholarship_status,12,12,0,100.0
scholarships,fields_of_study,12,1,11,8.33
scholarships,eligible_nationalities,12,0,12,0.0
scholarships,minimum_gpa,12,0,12,0.0
scholarships,gpa_scale,12,0,12,0.0
scholarships,ielts_requirement,12,0,12,0.0
scholarships,toefl_requirement,12,0,12,0.0
scholarships,age_limit,12,0,12,0.0
scholarships,application_cycle,12,12,0,100.0
scholarships,application_opening_date,12,1,11,8.33
scholarships,application_deadline,12,1,11,8.33
scholarships,official_website,12,12,0,100.0
scholarships,last_verified_at,12,12,0,100.0
scholarships,freshness_status,12,12,0,100.0
