program_id,university_id,university_name,country_id,program_slot,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_kr_001,uni_kr_001,Seoul National University,country_kr,1,Computer Science and Engineering,Computer Science,Master,,,,,,,,,,,,,https://eng.snu.ac.kr/en/academics/graduate-programs/computer-science-and-engineering,verified,https://eng.snu.ac.kr/en/academics/graduate-programs/computer-science-and-engineering,https://www.snu.ac.kr,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://admission.snu.ac.kr/international/graduate/spring/guide,SNU's current Spring 2027 international graduate admissions pathway is active and the programme is verified on the official graduate-programme page.,2026-08-22
prog_kr_002,uni_kr_001,Seoul National University,country_kr,2,Electrical and Computer Engineering,Electrical and Computer Engineering,Master,,,,,,,,,,,,,https://eng.snu.ac.kr/en/academics/graduate-programs/electrical-and-computer-engineering,verified,https://eng.snu.ac.kr/en/academics/graduate-programs/electrical-and-computer-engineering,https://www.snu.ac.kr,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://admission.snu.ac.kr/international/graduate/spring/guide,SNU's current Spring 2027 international graduate admissions pathway is active and the programme is verified on the official graduate-programme page.,2026-08-22
prog_kr_003,uni_kr_001,Seoul National University,country_kr,3,Materials Science and Engineering,Materials Science and Engineering,Master,,,,,,,,,,,,,https://eng.snu.ac.kr/en/academics/graduate-programs/materials-science-and-engineering,verified,https://eng.snu.ac.kr/en/academics/graduate-programs/materials-science-and-engineering,https://www.snu.ac.kr,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://admission.snu.ac.kr/international/graduate/spring/guide,SNU's current Spring 2027 international graduate admissions pathway is active and the programme is verified on the official graduate-programme page.,2026-08-22
prog_kr_004,uni_kr_002,Korea Advanced Institute of Science and Technology,country_kr,1,School of Computing,Computer Science,Master,,,,,,,,,,,,,https://cs.kaist.ac.kr/,verified,https://admission.kaist.ac.kr/intl-graduate/Discover/ExplorePrograms,https://www.kaist.ac.kr,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://admission.kaist.ac.kr/intl-graduate/Discover/ExplorePrograms,KAIST's official international graduate Explore Programs directory lists School of Computing with a Master's degree.,2026-08-22
prog_kr_005,uni_kr_002,Korea Advanced Institute of Science and Technology,country_kr,2,Electrical Engineering,Electrical Engineering,Master,,,,,,,,,,,,,https://ee.kaist.ac.kr/?language=en,verified,https://admission.kaist.ac.kr/intl-graduate/Discover/ExplorePrograms,https://www.kaist.ac.kr,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://admission.kaist.ac.kr/intl-graduate/Discover/ExplorePrograms,KAIST's official international graduate Explore Programs directory lists Electrical Engineering with a Master's degree.,2026-08-22
prog_kr_006,uni_kr_002,Korea Advanced Institute of Science and Technology,country_kr,3,Mechanical Engineering,Mechanical Engineering,Master,,,,,,,,,,,,,https://me.kaist.ac.kr/eng/main/main.html,verified,https://admission.kaist.ac.kr/intl-graduate/Discover/ExplorePrograms,https://www.kaist.ac.kr,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://admission.kaist.ac.kr/intl-graduate/Discover/ExplorePrograms,KAIST's official international graduate Explore Programs directory lists Mechanical Engineering with a Master's degree.,2026-08-22
prog_kr_007,uni_kr_003,Yonsei University,country_kr,1,Economics,Economics,Bachelor,,,English,,,,,,,,,,https://uic.yonsei.ac.kr/main/major.php?mid=m02_02_02,verified,https://uic.yonsei.ac.kr/main/major.php?mid=m02_02_02,https://www.yonsei.ac.kr,verified,Official Yonsei UIC major page verifies Economics. UIC's official FAQ states UIC courses are conducted in English.,2026-08-22,verified_yes,https://uic.yonsei.ac.kr/main/admission.php?mid=m04_02_02,Yonsei UIC operates a current International Students Track. The official UIC major page verifies this programme.,2026-08-22
prog_kr_008,uni_kr_003,Yonsei University,country_kr,2,International Studies,International Studies,Bachelor,,,English,,,,,,,,,,https://uic.yonsei.ac.kr/main/major.php?mid=m02_02_03,verified,https://uic.yonsei.ac.kr/main/major.php?mid=m02_02_03,https://www.yonsei.ac.kr,verified,Official Yonsei UIC major page verifies International Studies. UIC's official FAQ states UIC courses are conducted in English.,2026-08-22,verified_yes,https://uic.yonsei.ac.kr/main/admission.php?mid=m04_02_02,Yonsei UIC operates a current International Students Track. The official UIC major page verifies this programme.,2026-08-22
prog_kr_009,uni_kr_003,Yonsei University,country_kr,3,Life Science and Biotechnology,Life Science and Biotechnology,Bachelor,,,English,,,,,,,,,,https://uic.yonsei.ac.kr/main/major.php?mid=m02_02_05,verified,https://uic.yonsei.ac.kr/main/major.php?mid=m02_02_05,https://www.yonsei.ac.kr,verified,Official Yonsei UIC major page verifies Life Science and Biotechnology. UIC's official FAQ states UIC courses are conducted in English.,2026-08-22,verified_yes,https://uic.yonsei.ac.kr/main/admission.php?mid=m04_02_02,Yonsei UIC operates a current International Students Track. The official UIC major page verifies this programme.,2026-08-22
prog_kr_010,uni_kr_004,Korea University,country_kr,1,Business Administration,Business Administration,Bachelor,,,,,,,,,,,,,https://oia.korea.ac.kr/_res/oia/etc/Application_Guide_for_Fall_2026_Freshman%28ENG%29.pdf,verified,https://oia.korea.ac.kr/_res/oia/etc/Application_Guide_for_Fall_2026_Freshman%28ENG%29.pdf,https://www.korea.ac.kr,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://oia.korea.ac.kr/oia2026/Admission-Guide.do,Korea University OIA's official international undergraduate admission guide lists Business Administration as a recruitment unit.,2026-08-22
prog_kr_011,uni_kr_004,Korea University,country_kr,2,Economics,Economics,Bachelor,,,,,,,,,,,,,https://oia.korea.ac.kr/_res/oia/etc/Application_Guide_for_Fall_2026_Freshman%28ENG%29.pdf,verified,https://oia.korea.ac.kr/_res/oia/etc/Application_Guide_for_Fall_2026_Freshman%28ENG%29.pdf,https://www.korea.ac.kr,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://oia.korea.ac.kr/oia2026/Admission-Guide.do,Korea University OIA's official international undergraduate admission guide lists Economics as a recruitment unit.,2026-08-22
prog_kr_012,uni_kr_004,Korea University,country_kr,3,Computer Science and Engineering,Computer Science and Engineering,Bachelor,,,,,,,,,,,,,https://oia.korea.ac.kr/_res/oia/etc/Application_Guide_for_Fall_2026_Freshman%28ENG%29.pdf,verified,https://oia.korea.ac.kr/_res/oia/etc/Application_Guide_for_Fall_2026_Freshman%28ENG%29.pdf,https://www.korea.ac.kr,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://oia.korea.ac.kr/oia2026/Admission-Guide.do,Korea University OIA's official international undergraduate admission guide lists Computer Science and Engineering.,2026-08-22
prog_kr_013,uni_kr_005,Sungkyunkwan University,country_kr,1,Chemical Engineering,Chemical Engineering,Bachelor,,,,,,,,,,,,,https://www.skku.edu/eng/edu/education.do,verified,https://www.skku.edu/eng/edu/education.do,https://skku.edu,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://admission-global.skku.edu/eng/etc/bbs_list.html?bbsid=global_notice_re_eng&bltn_seq=53774&ctg_cd=Undergraduate&mode=view&page=1&skey=title,SKKU's official academic catalogue verifies Chemical Engineering. Official international-admission materials include this engineering unit and the current Spring 2027 international admission guide is active.,2026-08-22
prog_kr_014,uni_kr_005,Sungkyunkwan University,country_kr,2,Advanced Materials Science and Engineering,Materials Science and Engineering,Bachelor,,,,,,,,,,,,,https://www.skku.edu/eng/edu/education.do,verified,https://www.skku.edu/eng/edu/education.do,https://skku.edu,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://admission-global.skku.edu/eng/etc/bbs_list.html?bbsid=global_notice_re_eng&bltn_seq=53774&ctg_cd=Undergraduate&mode=view&page=1&skey=title,SKKU's official academic catalogue verifies Advanced Materials Science and Engineering. Official international-admission materials include this engineering unit and the Spring 2027 guide is active.,2026-08-22
prog_kr_015,uni_kr_005,Sungkyunkwan University,country_kr,3,Mechanical Engineering,Mechanical Engineering,Bachelor,,,,,,,,,,,,,https://www.skku.edu/eng/edu/education.do,verified,https://www.skku.edu/eng/edu/education.do,https://skku.edu,verified,Programme identity verified from an official first-party university or admissions source on 2026-08-22. Optional details not directly supported by the retrieved source remain blank.,2026-08-22,verified_yes,https://admission-global.skku.edu/eng/etc/bbs_list.html?bbsid=global_notice_re_eng&bltn_seq=53774&ctg_cd=Undergraduate&mode=view&page=1&skey=title,SKKU's official academic catalogue verifies Mechanical Engineering. Official international-admission materials include this engineering unit and the current Spring 2027 guide is active.,2026-08-22
