program_id,university_id,university_name,country_id,program_slot,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_kr_109,uni_kr_037,Sungshin Women's University,country_kr,1,,,,,,,,,,,,,,,,,verified,,https://www.sungshin.ac.kr/sites/main_eng/main.jsp,verified,,,verified_yes,,,
prog_kr_110,uni_kr_037,Sungshin Women's University,country_kr,2,,,,,,,,,,,,,,,,,verified,,https://www.sungshin.ac.kr/sites/main_eng/main.jsp,verified,,,verified_yes,,,
prog_kr_111,uni_kr_037,Sungshin Women's University,country_kr,3,,,,,,,,,,,,,,,,,verified,,https://www.sungshin.ac.kr/sites/main_eng/main.jsp,verified,,,verified_yes,,,
prog_kr_112,uni_kr_038,Seoul Women's University,country_kr,1,,,,,,,,,,,,,,,,,verified,,https://www.swu.ac.kr/english/,verified,,,verified_yes,,,
prog_kr_113,uni_kr_038,Seoul Women's University,country_kr,2,,,,,,,,,,,,,,,,,verified,,https://www.swu.ac.kr/english/,verified,,,verified_yes,,,
prog_kr_114,uni_kr_038,Seoul Women's University,country_kr,3,,,,,,,,,,,,,,,,,verified,,https://www.swu.ac.kr/english/,verified,,,verified_yes,,,
prog_kr_115,uni_kr_039,Dankook University,country_kr,1,,,,,,,,,,,,,,,,,verified,,https://www.dankook.ac.kr/en,verified,,,verified_yes,,,
prog_kr_116,uni_kr_039,Dankook University,country_kr,2,,,,,,,,,,,,,,,,,verified,,https://www.dankook.ac.kr/en,verified,,,verified_yes,,,
prog_kr_117,uni_kr_039,Dankook University,country_kr,3,,,,,,,,,,,,,,,,,verified,,https://www.dankook.ac.kr/en,verified,,,verified_yes,,,
prog_kr_118,uni_kr_040,Myongji University,country_kr,1,,,,,,,,,,,,,,,,,verified,,https://www.mju.ac.kr/us/index.do,verified,,,verified_yes,,,
prog_kr_119,uni_kr_040,Myongji University,country_kr,2,,,,,,,,,,,,,,,,,verified,,https://www.mju.ac.kr/us/index.do,verified,,,verified_yes,,,
prog_kr_120,uni_kr_040,Myongji University,country_kr,3,,,,,,,,,,,,,,,,,verified,,https://www.mju.ac.kr/us/index.do,verified,,,verified_yes,,,
prog_kr_121,uni_kr_041,Gachon University,country_kr,1,,,,,,,,,,,,,,,,,verified,,https://www.gachon.ac.kr/eng/index.do,verified,,,verified_yes,,,
prog_kr_122,uni_kr_041,Gachon University,country_kr,2,,,,,,,,,,,,,,,,,verified,,https://www.gachon.ac.kr/eng/index.do,verified,,,verified_yes,,,
prog_kr_123,uni_kr_041,Gachon University,country_kr,3,,,,,,,,,,,,,,,,,verified,,https://www.gachon.ac.kr/eng/index.do,verified,,,verified_yes,,,
prog_kr_124,uni_kr_042,Hallym University,country_kr,1,,,,,,,,,,,,,,,,,verified,,https://www.hallym.ac.kr/hallym_en/,verified,,,verified_yes,,,
prog_kr_125,uni_kr_042,Hallym University,country_kr,2,,,,,,,,,,,,,,,,,verified,,https://www.hallym.ac.kr/hallym_en/,verified,,,verified_yes,,,
prog_kr_126,uni_kr_042,Hallym University,country_kr,3,,,,,,,,,,,,,,,,,verified,,https://www.hallym.ac.kr/hallym_en/,verified,,,verified_yes,,,
prog_kr_127,uni_kr_043,Keimyung University,country_kr,1,,,,,,,,,,,,,,,,,verified,,https://www.kmu.ac.kr/uni/eng/,verified,,,verified_yes,,,
