program_id,tuition_fee,tuition_currency,tuition_period,tuition_academic_year,tuition_student_scope,tuition_source_url,tuition_last_verified_at,tuition_note
prog_jp_019,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_020,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_021,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_024,635400,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_022,635400,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_023,635400,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_036,1160000,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_034,1160000,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_035,740000,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_028,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_029,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_030,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_005,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_006,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_004,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_017,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
prog_jp_016,535800,JPY,Annual,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>,<FIELD_NOT_PRESENT>
